"#";"Quantity";"RefDes";"Manufacturer";"Order Number";"Description"
"1";"1";"A1";"Diverse";"-";"ESP32 NodeMCU Module WLAN WiFi Development Board (use PinHeader to connect the Module))"
"2";"2";"C1, C4";"Murata";"GRM188R71E104K";"Chip Monolithic Ceramic Capacitor X7R"
"3";"2";"C2, C3";"Chemi-Con";"ELXY160ELL222MK30S";"Miniature Aluminium Electrolytic Capacitor 2200uF 16V 12.5x20mm"
"4";"1";"D1";"Nexperia";"NSR0130P2T5G";"30V Schottky Barrier Diode, 30V / 100mA, 2-Pin SOD-923"
"5";"1";"J1";"Spectra";"7102-M3M";"Mini XLR Connector 3pol. male"
"6";"1";"J2";"Spectra";"7102-M4M";"Mini XLR Connector 4pol. male"
"7";"1";"J3";"Lumberg";"1614 19";"2.1mm Power Plug"
"8";"1";"J4";"Harwin";"M20-9740346";"Pin Header 100min 2x3 right angle"
"9";"1";"J5";"Harwin";"M20-9740446";"Pin Header 100min 2x4 right angle"
"10";"2";"J6, J7";"Bomin Electronic";"EJ12-211PM";"Ultra Short Metal Button"
"11";"3";"J8, J10, J11";"Samtec";"TSW-104-07-G-S";"1x4 Pol Connector 100mil "
"12";"2";"J9, J19";"Samtec";"TSW-104-07-G-S";"1x4 Pol Connector 100mil "
"13";"1";"J12";"Samtec";"TSW-104-07-G-S";"1x4 Pol Connector 100mil "
"14";"1";"J13";"Preci-dip";"803-87-006-65-001101";"Socket 2x3, 2.54mm, height 7mm"
"15";"1";"J14";"Preci-dip";"803-87-008-65-001101";"Socket 2x4, 2.54mm, height 7mm"
"16";"1";"J15";"Samtec";"TSW-104-07-G-S";"1x4 Pol Connector 100mil "
"17";"2";"J16, J17";"Samtec";"TSW-104-07-G-S";"1x4 Pol Connector 100mil "
"18";"1";"J18";"Samtec";"TSW-104-07-G-S";"1x4 Pol Connector 100mil "
"19";"1";"LS1";"Soberton Inc.";"WST-1203UX";"AUDIO INDICATOR 82 DB 3 VDC 2300 HZ"
"20";"1";"R1";"YAGEO";"RC0603JR-0715KL";"SMD-Resistor 15kOhm 5 % 100mW 0603"
"21";"2";"R2, R7";"YAGEO";"RC0603FR-07604KL";"SMD-Resistor 604kOhm 1% 100mW 0603"
"22";"4";"R3, R4, R8, R9";"YAGEO";"RC0603JR-0710KL";"SMD-Resistor 10kOhm 5 % 100mW 0603"
"23";"1";"R5";"YAGEO";"RC0603JR-071KL";"SMD-Resistor 1kOhm 5 % 100mW 0603"
"24";"1";"R6";"YAGEO";"RC0603JR-0730KL";"SMD-Resistor 30kOhm 5 % 100mW 0603"
"25";"1";"SW1";"Yueqing Hegxing Electrical";"KCD1-11";"2 pin ON - OFF small rocker switch"
"26";"1";"SW2";"IDUINO";"SE055";"Rotary Encoder development board, KY-040"
"27";"2";"U1, U5";"Texas Instruments";"INA219BIDR";"INA219 Zero-Drift, Bidirectional Current/Power Monitor with I2C interface"
"28";"1";"U2";"Yueqing Hegxing Electrical";"KCD1-00-103";"Rocker Switch 6A@250VAC ON-OFF-ON SPST"
"29";"1";"U3";"QUADRIOS";"2111O151";"LED blue, 3mm"
"30";"1";"U4";"QUADRIOS";"2111O155";"LED red, 3mm"
"";"42";"";"";"";""
